date,time,summary,source
2026-06-30,11:21,Activity captured (set ANTHROPIC_API_KEY for AI summaries),stop_hook
2026-06-30,14:00,Activity captured (set ANTHROPIC_API_KEY for AI summaries),task_scheduler
